,month,date,euribor3m,year,day_of_week
0,dec,2007-12-03,4.839,2007,mon
1,dec,2007-12-04,4.858,2007,tue
2,dec,2007-12-05,4.871,2007,wed
3,dec,2007-12-06,4.884,2007,thu
4,dec,2007-12-07,4.891,2007,fri
5,dec,2007-12-10,4.902,2007,mon
6,dec,2007-12-11,4.927,2007,tue
7,dec,2007-12-12,4.953,2007,wed
8,dec,2007-12-13,4.948,2007,thu
9,dec,2007-12-14,4.941,2007,fri
10,dec,2007-12-17,4.949,2007,mon
11,dec,2007-12-18,4.876,2007,tue
12,dec,2007-12-19,4.812,2007,wed
13,dec,2007-12-20,4.79,2007,thu
14,dec,2007-12-21,4.774,2007,fri
15,dec,2007-12-24,4.765,2007,mon
16,dec,2007-12-27,4.765,2007,thu
17,dec,2007-12-28,4.69,2007,fri
18,dec,2007-12-31,4.684,2007,mon
19,jan,2008-01-02,4.665,2008,wed
20,jan,2008-01-03,4.644,2008,thu
21,jan,2008-01-04,4.63,2008,fri
22,jan,2008-01-07,4.616,2008,mon
23,jan,2008-01-08,4.598,2008,tue
24,jan,2008-01-09,4.597,2008,wed
25,jan,2008-01-10,4.591,2008,thu
26,jan,2008-01-11,4.576,2008,fri
27,jan,2008-01-14,4.558,2008,mon
28,jan,2008-01-15,4.541,2008,tue
29,jan,2008-01-16,4.509,2008,wed
30,jan,2008-01-17,4.446,2008,thu
31,jan,2008-01-18,4.411,2008,fri
32,jan,2008-01-21,4.393,2008,mon
33,jan,2008-01-22,4.33,2008,tue
34,jan,2008-01-23,4.288,2008,wed
35,jan,2008-01-24,4.302,2008,thu
36,jan,2008-01-25,4.383,2008,fri
37,jan,2008-01-28,4.378,2008,mon
38,jan,2008-01-29,4.383,2008,tue
39,jan,2008-01-30,4.381,2008,wed
40,jan,2008-01-31,4.374,2008,thu
41,feb,2008-02-01,4.367,2008,fri
42,feb,2008-02-04,4.368,2008,mon
43,feb,2008-02-05,4.372,2008,tue
44,feb,2008-02-06,4.359,2008,wed
45,feb,2008-02-07,4.353,2008,thu
46,feb,2008-02-08,4.331,2008,fri
47,feb,2008-02-11,4.334,2008,mon
48,feb,2008-02-12,4.334,2008,tue
49,feb,2008-02-13,4.34,2008,wed
50,feb,2008-02-14,4.342,2008,thu
51,feb,2008-02-15,4.355,2008,fri
52,feb,2008-02-18,4.358,2008,mon
53,feb,2008-02-19,4.36,2008,tue
54,feb,2008-02-20,4.366,2008,wed
55,feb,2008-02-21,4.373,2008,thu
56,feb,2008-02-22,4.374,2008,fri
57,feb,2008-02-25,4.379,2008,mon
58,feb,2008-02-26,4.382,2008,tue
59,feb,2008-02-27,4.386,2008,wed
60,feb,2008-02-28,4.387,2008,thu
61,feb,2008-02-29,4.384,2008,fri
62,mar,2008-03-03,4.383,2008,mon
63,mar,2008-03-04,4.391,2008,tue
64,mar,2008-03-05,4.401,2008,wed
65,mar,2008-03-06,4.429,2008,thu
66,mar,2008-03-07,4.497,2008,fri
67,mar,2008-03-10,4.558,2008,mon
68,mar,2008-03-11,4.597,2008,tue
69,mar,2008-03-12,4.605,2008,wed
